,Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name,tweets
11,Brooklyn,644,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",-1.0792,0,2025-05-08 17:00:00,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,JORALEMON STREET,"['just fell off my bike on Joralemon St due to a broken curb wish I knew who to report it to', 'walking down Joralemon St almost tripped on a broken piece of concrete needs to be fixed ASAP', 'why cant the city just fix the curb on Joralemon St its been broken for weeks now', 'almost sprained my ankle on the broken curb on Joralemon St is anyone actually checking on this street']"
12,Bronx,7,"POLYGON ((-73.92786156576815 40.807569374029164, -73.92786007833753 40.80894173522378, -73.92966625525976 40.80894285127137, -73.9296677054494 40.807570490053976, -73.92786156576815 40.807569374029164))",-0.5396,0,2025-04-07 12:00:00,Department of Transportation,Traffic Signal Condition,Post,,,"[""Just got stuck at the traffic light on nan street, it's been red for 5 minutes now."", 'Feels like the traffic light on nan street has been malfunctioning all day, every time I stop by.', ""Can't believe the traffic light on nan street has been out of order for weeks now."", ""Just tried to go through the traffic light on nan street and it won't let me pass, what's going on?"", 'The traffic light on nan street has been changing too slowly today.', 'The traffic light on nan street has been causing so much traffic congestion, need it to be fixed ASAP.', ""It's getting frustrating, the traffic light on nan street is taking forever to change colors."", 'The traffic light on nan street is stuck on red, why is it taking so long to change?', 'The traffic light on nan street is causing me to be late for work, how can it be fixed?']"
13,Queens,125,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",2.340911765,2,2025-03-27 18:15:00,Department of Transportation,Traffic Signal Condition,Controller,,,"['I just got stuck at the traffic signal on nan street, seems like the controller is malfunctioning again.', ""I'm still stuck at the nan street traffic signal, just sitting here waiting for it to turn green."", 'Managed to get out of the traffic congestion at nan street but that traffic light controller was really off today.', 'Why does the traffic controller on nan street never seem to work correctly?', ""Just drove past the nan street traffic signal and it looks like they're fixing the controller issue.""]"
14,Queens,67,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.039676471,0,2025-03-31 14:00:00,Department of Transportation,Traffic Signal Condition,Bike Signal,,,"[""Can't stress this enough, the bike signal at the intersection of nan and street is completely ignored by drivers, it's really frustrating"", 'Walking down nan and had to wait for what felt like an eternity for a lane to clear, bike signal is needed now more than ever', 'Frustrating morning commute on nan, bike signal is more of a suggestion than a rule out there, people need to pay attention']"
15,Queens,98,"POLYGON ((-73.8244428013427 40.77554505048763, -73.82443918325161 40.776917416261746, -73.82624448858043 40.77692015259466, -73.82624806946662 40.77554778676471, -73.8244428013427 40.77554505048763))",0.953603448,0,2024-06-05 08:45:00,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,25 ROAD,"[""It's ridiculous how many derelict vehicles are abandoned on 25 ROAD. Something needs to be done about it."", ""I'm getting tired of seeing the same old junkers on 25 ROAD. When are the authorities going to collect them?"", ""There are cars all over 25 ROAD that haven't moved in years. It's an eyesore and a traffic hazard."", ""Walking down 25 ROAD is like driving through a graveyard of old vehicles. It's disappointing and needs to change.""]"
16,Queens,88,"POLYGON ((-73.8244428013427 40.77554505048763, -73.82443918325161 40.776917416261746, -73.82624448858043 40.77692015259466, -73.82624806946662 40.77554778676471, -73.8244428013427 40.77554505048763))",0.721017241,0,2024-06-05 09:00:00,Department of Transportation,Street Sign - Dangling,Bus Stop,Street,25 ROAD,"['My bus sign just fell off 25 ROAD - not exactly the safest thing for commuters.', 'Just saw the street sign for my bus stop on 25 ROAD hanging by a thread - someone needs to fix it ASAP.']"
17,Queens,101,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",1.388676471,1,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD,"['Fed up with no access to my driveway because of a double parked car on 40 ROAD.', ""Can't even get out of my own house because of a car taking up my driveway on 40 ROAD.""]"
18,Queens,77,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.436441176,0,2025-03-27 18:15:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""Walking home from work and the traffic light on Oak St is constantly stuck on red, what's going on with the controller?"", 'Going to be late for dinner again because the traffic light on Oak St is malfunctioning, not the first time this month']"
19,Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 15:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET,"[""I just saw an abandoned vehicle on Pinegrove Street and I'm not sure what to do about it."", 'I wish someone would tow that car off Pinegrove Street already.', 'Just reported the abandoned car on Pinegrove Street, now just have to wait for something to happen.', 'That car has been on Pinegrove Street for days, someone needs to take responsibility for it.']"
20,Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET,"[""There's an old car on Pinegrove Street that's been abandoned for weeks, anyone know who it belongs to?"", ""I just walked by Pinegrove Street and there's a car there with a license plate still on it, weird that no one has come to get it."", ""Do you guys know what's going on with that old car on Pinegrove Street, it's been there forever."", ""I just saw a car on Pinegrove Street with a license plate that's still noticeable, hope someone comes to claim it ASAP.""]"
21,Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET,"[""there's an abandoned car on Pinegrove Street, not sure how long it's been there"", 'just saw a car abandoned on Pinegrove Street, hope someone claims it before it gets towed', 'abandoned vehicle on Pinegrove Street with a license plate number, anyone know who it belongs to?']"
22,Brooklyn,117,"POLYGON ((-73.99070322092639 40.68875035762872, -73.99070302957661 40.69012274262093, -73.99250598845698 40.69012287415301, -73.99250614269835 40.68875048915813, -73.99070322092639 40.68875035762872))",0.4047,0,2025-03-18 12:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,PACIFIC STREET,"['Why is there a blockade at my driveway on Pacific Street now?\nMy car is already here, I just want to get in.', ""I'm getting frustrated with the people blocking my driveway on Pacific Street.\nThis really affects my daily life schedule."", ""Fed up with the situation on Pacific Street, can't even get into my driveway today."", ""Whoever is blocking my driveway on Pacific Street needs to move their vehicle.\nIt's causing me a lot of inconvenience."", ""I'm trying to be patient but the blocked driveway on Pacific Street is getting old.\nSomebody needs to do something about it.""]"
23,Manhattan,83,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.574574074,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"['Think the bike lane on 7 AVENUE is blocked by a car again, needs a ticket.', ""Someone needs to move their car on 7 AVENUE, it's blocking the bike lane.""]"
24,Manhattan,83,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.574574074,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"['Just had to ride around a car parked in bike lane on 7 Ave, totally illegal.', ""People need to respect bike lanes, they're not just for show."", 'Just witnessed a car blocking the bike lane on 7 Ave, anyone else having this problem?', ""Riding my bike on 7 Ave and can't believe I have to navigate around a car parked in bike lane again.""]"
25,Brooklyn,859,"POLYGON ((-73.9980729322826 40.69370492885946, -73.99807289261602 40.695077313003424, -73.99987598548415 40.69507732907088, -73.9998759880368 40.693704944926566, -73.9980729322826 40.69370492885946))",0.992478571,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,,"[""My street light is out and it's getting dark."", ""I've been trying to get the council to fix our street light for weeks now."", 'Just reported the street light outage to the council again.', 'Still waiting for the street light to get fixed, really frustrating.']"
26,Brooklyn,105,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.699481481,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE,"[""Just had the craziest morning walking down Flatbush Avenue, almost couldn't get out of a construction site because the doors were all locked."", 'Finally got out of that crazy construction site on Flatbush Avenue after a construction worker opened the door for me, but not before I almost called 311.']"
27,Brooklyn,63,"POLYGON ((-74.02980326412843 40.623651032209324, -74.02980387695203 40.625023427422285, -74.03160507716542 40.62502294637196, -74.0316044273058 40.62365055116883, -74.02980326412843 40.623651032209324))",0.439891304,0,2025-06-09 09:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,85 STREET,"['Just got a ticket for parking on 85 STREET - no warning signs, just a fine.', 'Frustrating experience trying to park on 85 STREET - signs clearly say one thing, warnings another.']"
28,Manhattan,122,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.616685714,0,2025-03-06 08:15:00,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,WEST   96 STREET,"[""I'm getting fed up with people blocking the crosswalk on West 96 Street, can't they see the signs?"", ""Someone please take a picture of that car blocking the crosswalk on 96 Street, I'll report it to the authorities.""]"
29,Manhattan,74,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",-0.308342857,0,2025-03-08 10:45:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,WEST   96 STREET,"[""Struggled to park my car this morning because my neighbor's truck is blocking our driveway."", 'People parking on our street have no idea their vehicles are blocking access to our homes.', ""Got a neighbor with a truck that's been parked at the end of our street for days, blocking part of the driveway."", 'Woke up to a blocked driveway this morning, not exactly what I needed to start the day.', ""Someone's parked their car in front of our fence, now our driveway's partially blocked."", 'Part of our driveway is blocked by an RV and I have no idea who owns it.']"
30,Manhattan,126,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.693771429,0,2025-03-08 13:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST END AVENUE,"[""Just got slapped with a posted parking sign violation on my street, West End Avenue. Now I'm out $20."", 'Getting tired of people flouting the rules on our street and getting away with it.', ""Police are finally cracking down on posted parking signs on West End Avenue - 4 cars got tickets today, guess I'll see you around.""]"
31,Manhattan,64,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",-0.501057143,0,2025-03-10 19:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST   96 STREET,"[""Just got a notice for a parking sign violation on my street and I'm not happy about it."", ""Just got a posted parking sign ticket and I'm not sure if it was justified."", ""Really frustrated with the new posted parking signs, they're everywhere and I just got a ticket."", 'Ticket just arrived for parking on a street with posted signs, pretty ridiculous if you ask me.', 'West 96 street parking enforcement is getting out of hand if you ask me.', ""Just got a fine for parking on a street with a posted sign, wish they'd enforce the real problems."", 'Fed up with all the posted parking signs on my street, just got another ticket.', ""Latest posted parking sign ticket just arrived, I'm taking it to court."", 'Parked on West 96 street and got a notice for a posted sign, really not a big deal.']"
32,Manhattan,9,"POLYGON ((-73.91101950432183 40.87001883438244, -73.91101766789986 40.87139118070544, -73.91282554080058 40.87139256059028, -73.91282733991163 40.870020214239126, -73.91101950432183 40.87001883438244))",0.2698,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET,"['Just saw someone parking on West 219 Street with a paper license plate, big red flag right there.', ""Can't believe people are still using paper plates on public streets, West 219 Street just got more disgusting.""]"
33,Queens,6,"POLYGON ((-73.7728496017094 40.65902042351718, -73.77284492850401 40.66039280882225, -73.7746470778922 40.66039635355003, -73.77465171402272 40.65902396817259, -73.7728496017094 40.65902042351718))",-1.059928571,0,2025-04-28 03:30:00,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,,"['Just walked down the street and found out a lamppost is down. Hope they fix it soon.', 'Need streetlights to be functional especially at night. Lampposts are a priority.']"
34,Brooklyn,148,"POLYGON ((-73.921704844921 40.65360755863332, -73.92170323427 40.65497994886049, -73.92350524271427 40.65498116142401, -73.923506816296 40.65360877117208, -73.921704844921 40.65360755863332))",1.662160714,1,2024-05-17 18:00:00,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,LINDEN BOULEVARD,"['Just noticed the massive roots from trees on Linden Blvd causing huge cracks in the sidewalk. Never seen it this bad.', ""They're supposed to have a Trees and Sidewalks Program, but it looks like it's not doing much good on Linden Blvd."", 'Linden Blvd is a disaster when it comes to roots and sidewalk cracks. Someone needs to step up and fix this!']"
35,Brooklyn,89,"POLYGON ((-73.921704844921 40.65360755863332, -73.92170323427 40.65497994886049, -73.92350524271427 40.65498116142401, -73.923506816296 40.65360877117208, -73.921704844921 40.65360755863332))",0.240892857,0,2024-05-17 18:00:00,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,LINDEN BOULEVARD,"[""Linden Boulevard sidewalks are a disaster, I'm tripping over uneven pavement every day."", ""Just saw a massive root popping out of the sidewalk, it's only a matter of time before someone gets hurt."", 'Trees and Sidewalks Program needs to do better, our neighborhood is getting worse by the day.', ""Can't believe the city neglects the sidewalks like this, what's the point of maintaining our trees if not the surrounding infrastructure?""]"
36,Queens,73,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.277735294,0,2025-03-30 16:45:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""Really frustrated with the traffic light on Main St, seems like it's not working properly today."", 'Took a picture of the controller to show city officials, hopefully they can fix it soon.', ""This traffic signal has been a problem for weeks, can't believe it's still not fixed yet.""]"
37,Brooklyn,28,"POLYGON ((-74.0233465611785 40.63904582452113, -74.02334704134819 40.640418217490144, -74.02514865715985 40.640417837597134, -74.02514813993702 40.639045444635876, -74.0233465611785 40.63904582452113))",-0.378378049,0,2025-01-29 22:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,65 STREET,"[""Just got a posted parking sign violation notice on 65 STREET, why can't people follow the rules?"", 'Still waiting for an explanation on why I got a ticket on a posted parking sign on 65 STREET.']"
38,Brooklyn,64,"POLYGON ((-74.0233465611785 40.63904582452113, -74.02334704134819 40.640418217490144, -74.02514865715985 40.640417837597134, -74.02514813993702 40.639045444635876, -74.0233465611785 40.63904582452113))",0.806109756,0,2025-01-30 10:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,65 STREET,"[""Just got a posted parking sign violation on my street and I'm not happy about it."", ""Needless to say, the parking enforcement in my area is still a joke, can't believe this happened again.""]"
39,Brooklyn,50,"POLYGON ((-74.0233465611785 40.63904582452113, -74.02334704134819 40.640418217490144, -74.02514865715985 40.640417837597134, -74.02514813993702 40.639045444635876, -74.0233465611785 40.63904582452113))",0.34547561,0,2025-01-30 11:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,65 STREET,"['Just got a ticket on 65 STREET for parking in a no-parking zone.', ""Paid for parking and got a warning not to bother. Don't they check signs?""]"
40,Bronx,116,"POLYGON ((-73.84152954456823 40.86780053391224, -73.84152627408959 40.86917287924508, -73.84333408468446 40.86917534782106, -73.84333731785483 40.86780300243788, -73.84152954456823 40.86780053391224))",0.246768293,0,2024-09-14 10:00:00,Department of Transportation,Street Light Condition,Street Light Out,,O NEIL PLACE,"[""Street light out on O'Neil Place and it's pitch black at night."", ""Need someone to check the street light on O'Neil Place, it's been out for a while.""]"
41,Brooklyn,83,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.149888889,0,2024-11-09 14:45:00,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,ATLANTIC AVENUE,"['I just got passed on Atlantic Avenue because of a double parked car blocking the whole road.', 'Saw a car double parked on Atlantic Avenue and no ones bothering to move it, really?', ""Can't believe the amount of double parked cars on Atlantic Avenue, it's getting ridiculous."", 'Some people have no idea how to follow traffic laws, double parked on Atlantic Avenue.', 'Got stuck behind a car parked on the center line of Atlantic Avenue, what a joke.', ""Double parked cars are such a pain on Atlantic Avenue, it's not safe.""]"
42,Bronx,24,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.618291667,0,2024-01-15 08:15:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE,"[""Just found out that the construction site on Jackson Avenue is still working despite a stop work order. Something doesn't add up."", ""I'm so frustrated with the lack of transparency from the construction company on Jackson Avenue. They're clearly breaking the rules."", ""anyone know what's going on with the plumbing issue on Jackson Avenue? It's been weeks and nothing's been fixed."", ""I just saw workers on Jackson Avenue who claim they're still working on a project that's already been shut down. Apparently they don't take stop work orders seriously.""]"
43,Bronx,22,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.6745,0,2024-01-15 08:45:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,JACKSON AVENUE,"[""Can't believe the construction on Jackson Avenue is still going on without a proper secondary means of egress."", 'Locked doors on Jackson Avenue are a serious safety concern during construction.']"
44,Bronx,26,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.562083333,0,2024-01-15 09:15:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE,"['I just saw a construction crew working on Jackson Avenue despite a stop work order, how are they getting away with this?', ""Can't believe what I'm witnessing, a crew defying a stop work order on Jackson Avenue, does anyone know what's going on?"", 'Just got_home from work and construction is still going on at Jackson Avenue despite a stop work order, when will this get sorted?', ""Jackson Avenue construction has been halted, but I just saw a crew back at work, does anyone know why they're ignoring the stop work order?""]"
45,Brooklyn,55,"POLYGON ((-74.02980326412843 40.623651032209324, -74.02980387695203 40.625023427422285, -74.03160507716542 40.62502294637196, -74.0316044273058 40.62365055116883, -74.02980326412843 40.623651032209324))",0.205282609,0,2025-06-09 09:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,85 STREET,"['Just got notice about a posted violation for parking on 85 STREET. People really need to follow the signs.', ""Thinking about asking the city to install cameras to catch people ignoring posted signs on my street. It's getting ridiculous.""]"
46,Brooklyn,60,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.139551724,0,2025-06-03 13:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,DOUGHTY STREET,"['Just got out of a meeting with local council about the parking situation on Doughty Street. Fingers crossed for some changes soon.', 'Still shaking my head over the number of people ignoring the parking signs on my street. How hard is it to follow the rules?', 'Fed up with parking enforcement targeting residents who try to park their cars in own streets. How about taking on the regular offenders?']"
