Time,Temperature,Condition,Wind,Humidity,Pressure,Visibility,day,month
,4 °C,Mostly cloudy.,11 km/h,57%,1010 mbar,16 km,2,1
,3 °C,Passing clouds.,19 km/h,53%,1011 mbar,16 km,2,1
,3 °C,Clear.,9 km/h,52%,1011 mbar,16 km,2,1
,3 °C,Sunny.,17 km/h,50%,1012 mbar,16 km,2,1
,3 °C,Passing clouds.,N/A,51%,1013 mbar,16 km,2,1
,4 °C,Partly sunny.,28 km/h,46%,1014 mbar,16 km,2,1
,5 °C,Partly sunny.,17 km/h,43%,1014 mbar,16 km,2,1
,5 °C,Overcast.,26 km/h,41%,1013 mbar,16 km,2,1
,6 °C,Mostly cloudy.,19 km/h,38%,1012 mbar,16 km,2,1
,6 °C,Overcast.,N/A,36%,1012 mbar,16 km,2,1
,5 °C,Overcast.,19 km/h,36%,1012 mbar,16 km,2,1
,4 °C,Overcast.,22 km/h,38%,1013 mbar,16 km,2,1
,3 °C,Passing clouds.,13 km/h,41%,1014 mbar,16 km,2,1
,3 °C,Passing clouds.,17 km/h,42%,1014 mbar,16 km,2,1
,3 °C,Clear.,26 km/h,42%,1014 mbar,16 km,2,1
,2 °C,Passing clouds.,7 km/h,46%,1014 mbar,16 km,2,1
,2 °C,Clear.,11 km/h,46%,1014 mbar,16 km,2,1
,1 °C,Passing clouds.,6 km/h,48%,1014 mbar,16 km,2,1
,1 °C,Passing clouds.,N/A,48%,1014 mbar,16 km,2,1
,1 °C,Passing clouds.,19 km/h,48%,1014 mbar,16 km,2,1
,1 °C,Passing clouds.,15 km/h,52%,1014 mbar,16 km,3,1
,1 °C,Mostly cloudy.,11 km/h,48%,1014 mbar,16 km,3,1
,1 °C,Overcast.,19 km/h,46%,1015 mbar,16 km,3,1
,1 °C,Overcast.,22 km/h,44%,1015 mbar,16 km,3,1
,1 °C,Overcast.,17 km/h,44%,1014 mbar,16 km,3,1
,1 °C,Overcast.,17 km/h,54%,1014 mbar,16 km,3,1
,1 °C,Overcast.,17 km/h,52%,1014 mbar,16 km,3,1
,1 °C,Overcast.,9 km/h,52%,1014 mbar,16 km,3,1
,1 °C,Overcast.,N/A,50%,1014 mbar,16 km,3,1
,2 °C,Passing clouds.,6 km/h,46%,1013 mbar,16 km,3,1
,2 °C,Passing clouds.,15 km/h,40%,1012 mbar,16 km,3,1
,3 °C,Passing clouds.,17 km/h,41%,1011 mbar,16 km,3,1
,3 °C,Partly sunny.,7 km/h,39%,1009 mbar,16 km,3,1
,3 °C,Partly sunny.,9 km/h,42%,1009 mbar,16 km,3,1
,3 °C,Partly sunny.,9 km/h,43%,1008 mbar,16 km,3,1
,3 °C,Partly sunny.,15 km/h,42%,1009 mbar,16 km,3,1
,2 °C,Overcast.,7 km/h,42%,1009 mbar,16 km,3,1
,2 °C,Passing clouds.,13 km/h,48%,1009 mbar,16 km,3,1
,2 °C,Partly cloudy.,9 km/h,48%,1009 mbar,16 km,3,1
,1 °C,Clear.,N/A,58%,1008 mbar,16 km,3,1
,0 °C,Clear.,7 km/h,61%,1008 mbar,16 km,3,1
,0 °C,Clear.,13 km/h,61%,1008 mbar,16 km,3,1
,-1 °C,Clear.,N/A,61%,1008 mbar,16 km,3,1
,-1 °C,Clear.,9 km/h,57%,1008 mbar,16 km,3,1
,-1 °C,Clear.,11 km/h,49%,1007 mbar,16 km,4,1
,-1 °C,Clear.,11 km/h,47%,1007 mbar,16 km,4,1
,-1 °C,Passing clouds.,9 km/h,47%,1008 mbar,16 km,4,1
,-1 °C,Passing clouds.,19 km/h,45%,1008 mbar,16 km,4,1
,-1 °C,Passing clouds.,19 km/h,43%,1009 mbar,16 km,4,1
,-1 °C,Overcast.,17 km/h,41%,1010 mbar,16 km,4,1
,-1 °C,Passing clouds.,N/A,47%,1010 mbar,16 km,4,1
,-1 °C,Overcast.,N/A,40%,1010 mbar,16 km,4,1
,-1 °C,Partly sunny.,11 km/h,36%,1011 mbar,16 km,4,1
,0 °C,Scattered clouds.,13 km/h,35%,1011 mbar,16 km,4,1
,0 °C,Overcast.,19 km/h,36%,1012 mbar,16 km,4,1
,0 °C,Scattered clouds.,17 km/h,35%,1011 mbar,16 km,4,1
,0 °C,Passing clouds.,24 km/h,36%,1010 mbar,16 km,4,1
,0 °C,Partly sunny.,20 km/h,35%,1011 mbar,16 km,4,1
,-1 °C,Partly sunny.,19 km/h,31%,1011 mbar,16 km,4,1
,-1 °C,Partly sunny.,15 km/h,31%,1012 mbar,16 km,4,1
,-1 °C,Overcast.,22 km/h,33%,1012 mbar,16 km,4,1
,-1 °C,Passing clouds.,19 km/h,31%,1013 mbar,16 km,4,1
,-1 °C,Overcast.,7 km/h,31%,1013 mbar,16 km,4,1
,-1 °C,Passing clouds.,15 km/h,34%,1013 mbar,16 km,4,1
,-1 °C,Clear.,20 km/h,34%,1014 mbar,16 km,4,1
,-2 °C,Overcast.,19 km/h,38%,1014 mbar,16 km,4,1
,-2 °C,Overcast.,19 km/h,38%,1015 mbar,16 km,4,1
,-2 °C,Overcast.,11 km/h,39%,1015 mbar,16 km,4,1
,-2 °C,Overcast.,11 km/h,43%,1015 mbar,16 km,5,1
,-2 °C,Overcast.,9 km/h,43%,1015 mbar,16 km,5,1
,-2 °C,Overcast.,N/A,47%,1015 mbar,16 km,5,1
,-2 °C,Overcast.,11 km/h,45%,1015 mbar,16 km,5,1
,-2 °C,Overcast.,6 km/h,47%,1015 mbar,16 km,5,1
,-2 °C,Overcast.,15 km/h,49%,1016 mbar,16 km,5,1
,-2 °C,Overcast.,19 km/h,49%,1016 mbar,16 km,5,1
,-2 °C,Overcast.,13 km/h,47%,1016 mbar,16 km,5,1
,-2 °C,Overcast.,7 km/h,47%,1016 mbar,16 km,5,1
,-2 °C,Overcast.,15 km/h,47%,1017 mbar,16 km,5,1
,-1 °C,Overcast.,17 km/h,45%,1017 mbar,16 km,5,1
,-1 °C,Overcast.,15 km/h,45%,1016 mbar,16 km,5,1
,-1 °C,Overcast.,22 km/h,41%,1015 mbar,16 km,5,1
,1 °C,Sunny.,13 km/h,38%,1015 mbar,16 km,5,1
,0 °C,Sunny.,20 km/h,40%,1016 mbar,16 km,5,1
,0 °C,Sunny.,24 km/h,38%,1016 mbar,16 km,5,1
,-1 °C,Clear.,9 km/h,41%,1017 mbar,16 km,5,1
,-1 °C,Clear.,9 km/h,41%,1017 mbar,16 km,5,1
,-1 °C,Clear.,N/A,45%,1017 mbar,16 km,5,1
,-1 °C,Clear.,15 km/h,45%,1017 mbar,16 km,5,1
,-1 °C,Clear.,N/A,47%,1017 mbar,16 km,5,1
,-1 °C,Clear.,13 km/h,49%,1017 mbar,16 km,5,1
,-1 °C,Clear.,N/A,51%,1017 mbar,16 km,5,1
,-2 °C,Clear.,N/A,54%,1017 mbar,16 km,5,1
,-2 °C,Clear.,9 km/h,53%,1017 mbar,16 km,6,1
,-2 °C,Clear.,6 km/h,56%,1017 mbar,16 km,6,1
,-2 °C,Clear.,7 km/h,54%,1017 mbar,16 km,6,1
,-2 °C,Clear.,6 km/h,56%,1016 mbar,16 km,6,1
,-2 °C,Clear.,No wind,56%,1015 mbar,16 km,6,1
,-1 °C,Clear.,6 km/h,56%,1015 mbar,16 km,6,1
,-1 °C,Clear.,No wind,56%,1014 mbar,16 km,6,1
,-1 °C,More clouds than sun.,6 km/h,59%,1014 mbar,16 km,6,1
,-1 °C,Overcast.,6 km/h,59%,1013 mbar,16 km,6,1
,-1 °C,Light snow. Mostly cloudy.,No wind,59%,1012 mbar,13 km,6,1
,-2 °C,Light snow. Overcast.,No wind,79%,1012 mbar,1 km,6,1
,-2 °C,Light snow. Mostly cloudy.,No wind,82%,1012 mbar,2 km,6,1
,-2 °C,Light snow. Overcast.,No wind,79%,1010 mbar,3 km,6,1
,-2 °C,Snow. More clouds than sun.,6 km/h,82%,1010 mbar,1 km,6,1
,-2 °C,Light snow. Mostly cloudy.,N/A,81%,1008 mbar,1 km,6,1
,-2 °C,Light snow. Overcast.,13 km/h,79%,1007 mbar,3 km,6,1
,-2 °C,Light snow. Overcast.,6 km/h,79%,1007 mbar,8 km,6,1
,-2 °C,Overcast.,11 km/h,79%,1006 mbar,13 km,6,1
,-1 °C,Broken clouds.,13 km/h,72%,1005 mbar,16 km,6,1
,-1 °C,Mostly cloudy.,13 km/h,69%,1005 mbar,16 km,6,1
,-2 °C,Passing clouds.,15 km/h,69%,1004 mbar,16 km,6,1
,-2 °C,Partly cloudy.,15 km/h,72%,1004 mbar,16 km,6,1
,-3 °C,Overcast.,17 km/h,72%,1004 mbar,16 km,6,1
,-4 °C,Overcast.,13 km/h,69%,1003 mbar,16 km,6,1
,-4 °C,Overcast.,9 km/h,60%,1004 mbar,16 km,6,1
,-5 °C,Overcast.,7 km/h,60%,1005 mbar,16 km,6,1
,-6 °C,Passing clouds.,11 km/h,52%,1006 mbar,16 km,6,1
,-7 °C,Clear.,20 km/h,52%,1007 mbar,16 km,7,1
,-7 °C,Clear.,17 km/h,54%,1007 mbar,16 km,7,1
,-7 °C,Clear.,20 km/h,55%,1007 mbar,16 km,7,1
,-6 °C,Passing clouds.,22 km/h,52%,1007 mbar,16 km,7,1
,-6 °C,Passing clouds.,26 km/h,52%,1007 mbar,16 km,7,1
,-6 °C,Clear.,17 km/h,55%,1008 mbar,16 km,7,1
,-6 °C,Clear.,17 km/h,52%,1008 mbar,16 km,7,1
,-5 °C,Sunny.,11 km/h,50%,1009 mbar,16 km,7,1
,-4 °C,Sunny.,22 km/h,48%,1009 mbar,16 km,7,1
,-4 °C,Sunny.,19 km/h,46%,1010 mbar,16 km,7,1
,-3 °C,Sunny.,24 km/h,44%,1009 mbar,16 km,7,1
,-2 °C,Sunny.,17 km/h,43%,1008 mbar,16 km,7,1
,-1 °C,Passing clouds.,20 km/h,43%,1008 mbar,16 km,7,1
,0 °C,Sunny.,22 km/h,40%,1008 mbar,16 km,7,1
,0 °C,Sunny.,20 km/h,41%,1008 mbar,16 km,7,1
,0 °C,Sunny.,20 km/h,40%,1010 mbar,16 km,7,1
,-1 °C,Clear.,24 km/h,43%,1012 mbar,16 km,7,1
,-2 °C,Clear.,24 km/h,43%,1013 mbar,16 km,7,1
,-2 °C,Clear.,17 km/h,47%,1013 mbar,16 km,7,1
,-3 °C,Passing clouds.,22 km/h,46%,1014 mbar,16 km,7,1
,-3 °C,Overcast.,24 km/h,46%,1014 mbar,16 km,7,1
,-3 °C,Overcast.,24 km/h,49%,1015 mbar,16 km,7,1
,-3 °C,Overcast.,22 km/h,49%,1015 mbar,16 km,7,1
,-3 °C,Passing clouds.,22 km/h,46%,1014 mbar,16 km,7,1
,-3 °C,Clear.,9 km/h,45%,1014 mbar,16 km,8,1
,-3 °C,Clear.,20 km/h,42%,1014 mbar,16 km,8,1
,-3 °C,Passing clouds.,15 km/h,44%,1015 mbar,16 km,8,1
,-3 °C,Passing clouds.,17 km/h,44%,1014 mbar,16 km,8,1
,-4 °C,Passing clouds.,11 km/h,44%,1015 mbar,16 km,8,1
,-4 °C,Clear.,26 km/h,42%,1014 mbar,16 km,8,1
,-4 °C,Clear.,19 km/h,44%,1015 mbar,16 km,8,1
,-4 °C,Sunny.,22 km/h,42%,1015 mbar,16 km,8,1
,-4 °C,Passing clouds.,17 km/h,42%,1015 mbar,16 km,8,1
,-3 °C,Scattered clouds.,N/A,42%,1014 mbar,16 km,8,1
,-3 °C,Partly sunny.,N/A,39%,1013 mbar,16 km,8,1
,-3 °C,Passing clouds.,26 km/h,37%,1012 mbar,16 km,8,1
,-2 °C,Passing clouds.,20 km/h,33%,1011 mbar,16 km,8,1
,-2 °C,Passing clouds.,20 km/h,31%,1010 mbar,16 km,8,1
,-2 °C,Sunny.,20 km/h,33%,1009 mbar,16 km,8,1
,-3 °C,Passing clouds.,19 km/h,35%,1010 mbar,16 km,8,1
,-3 °C,Clear.,32 km/h,37%,1010 mbar,16 km,8,1
,-4 °C,Clear.,15 km/h,38%,1010 mbar,16 km,8,1
,-5 °C,Passing clouds.,9 km/h,42%,1010 mbar,16 km,8,1
,-5 °C,Passing clouds.,19 km/h,44%,1010 mbar,16 km,8,1
,-5 °C,Passing clouds.,N/A,46%,1010 mbar,16 km,8,1
,-5 °C,Passing clouds.,N/A,46%,1009 mbar,16 km,8,1
,-5 °C,Clear.,26 km/h,44%,1008 mbar,16 km,8,1
,-5 °C,Passing clouds.,19 km/h,46%,1008 mbar,16 km,8,1
,-6 °C,Passing clouds.,15 km/h,48%,1007 mbar,16 km,9,1
,-5 °C,Overcast.,19 km/h,46%,1007 mbar,16 km,9,1
,-4 °C,Overcast.,7 km/h,44%,1006 mbar,16 km,9,1
,-4 °C,Mostly cloudy.,20 km/h,44%,1006 mbar,16 km,9,1
,-5 °C,Clear.,28 km/h,46%,1006 mbar,16 km,9,1
,-5 °C,Clear.,N/A,48%,1006 mbar,16 km,9,1
,-5 °C,Clear.,6 km/h,48%,1006 mbar,16 km,9,1
,-5 °C,Passing clouds.,N/A,48%,1007 mbar,16 km,9,1
,-4 °C,Sunny.,17 km/h,46%,1007 mbar,16 km,9,1
,-3 °C,Sunny.,13 km/h,44%,1007 mbar,16 km,9,1
,-2 °C,Sunny.,N/A,43%,1007 mbar,16 km,9,1
,-2 °C,Sunny.,15 km/h,43%,1006 mbar,16 km,9,1
,-1 °C,Sunny.,20 km/h,41%,1006 mbar,16 km,9,1
,0 °C,Sunny.,20 km/h,41%,1006 mbar,16 km,9,1
,1 °C,Sunny.,24 km/h,40%,1007 mbar,16 km,9,1
,0 °C,Sunny.,26 km/h,43%,1008 mbar,16 km,9,1
,-1 °C,Clear.,24 km/h,47%,1008 mbar,16 km,9,1
,-2 °C,Clear.,39 km/h,51%,1009 mbar,16 km,9,1
,-2 °C,Clear.,26 km/h,51%,1010 mbar,16 km,9,1
,-2 °C,Clear.,24 km/h,54%,1010 mbar,16 km,9,1
,-2 °C,Clear.,22 km/h,56%,1011 mbar,16 km,9,1
,-2 °C,Clear.,28 km/h,56%,1011 mbar,16 km,9,1
,-2 °C,Clear.,24 km/h,53%,1012 mbar,16 km,9,1
,-2 °C,Clear.,20 km/h,56%,1012 mbar,16 km,9,1
,-2 °C,Clear.,19 km/h,56%,1012 mbar,16 km,10,1
,-2 °C,Clear.,22 km/h,56%,1012 mbar,16 km,10,1
,-2 °C,Clear.,20 km/h,56%,1013 mbar,16 km,10,1
,-3 °C,Clear.,19 km/h,58%,1012 mbar,16 km,10,1
,-3 °C,Clear.,20 km/h,55%,1012 mbar,16 km,10,1
,-3 °C,Clear.,13 km/h,55%,1014 mbar,16 km,10,1
,-2 °C,Clear.,22 km/h,53%,1014 mbar,16 km,10,1
,-2 °C,Sunny.,13 km/h,53%,1014 mbar,16 km,10,1
,-1 °C,Sunny.,26 km/h,49%,1015 mbar,16 km,10,1
,-1 °C,Sunny.,11 km/h,47%,1015 mbar,16 km,10,1
,1 °C,Sunny.,13 km/h,43%,1014 mbar,16 km,10,1
,2 °C,Sunny.,N/A,40%,1013 mbar,16 km,10,1
,3 °C,Sunny.,9 km/h,37%,1012 mbar,16 km,10,1
,4 °C,Sunny.,11 km/h,36%,1012 mbar,16 km,10,1
,3 °C,Sunny.,11 km/h,37%,1012 mbar,16 km,10,1
,3 °C,Clear.,7 km/h,39%,1011 mbar,16 km,10,1
,2 °C,Clear.,15 km/h,40%,1011 mbar,16 km,10,1
,2 °C,Clear.,7 km/h,42%,1011 mbar,16 km,10,1
,2 °C,Clear.,6 km/h,42%,1009 mbar,16 km,10,1
,2 °C,Clear.,9 km/h,44%,1009 mbar,16 km,10,1
,2 °C,Passing clouds.,6 km/h,44%,1008 mbar,16 km,10,1
,2 °C,Overcast.,6 km/h,44%,1007 mbar,16 km,10,1
,2 °C,Overcast.,No wind,44%,1006 mbar,16 km,10,1
,1 °C,Overcast.,7 km/h,46%,1006 mbar,16 km,11,1
,1 °C,Mostly cloudy.,No wind,48%,1005 mbar,16 km,11,1
,1 °C,Mostly cloudy.,7 km/h,48%,1004 mbar,16 km,11,1
,0 °C,Light snow. Overcast.,11 km/h,59%,1003 mbar,6 km,11,1
,-1 °C,Light snow. Overcast.,11 km/h,64%,1004 mbar,3 km,11,1
,-2 °C,Light snow. Overcast.,9 km/h,75%,1003 mbar,2 km,11,1
,-2 °C,Light snow. Ice fog.,7 km/h,81%,1002 mbar,1 km,11,1
,-2 °C,Light snow. Mostly cloudy.,7 km/h,81%,1002 mbar,3 km,11,1
,-2 °C,Mostly cloudy.,No wind,81%,1002 mbar,16 km,11,1
,-2 °C,Light snow. Mostly cloudy.,6 km/h,81%,1001 mbar,5 km,11,1
,-2 °C,Light snow. Mostly cloudy.,6 km/h,81%,1001 mbar,10 km,11,1
,-2 °C,Overcast.,9 km/h,81%,1000 mbar,16 km,11,1
,-2 °C,Overcast.,6 km/h,79%,1000 mbar,16 km,11,1
,-2 °C,Mostly cloudy.,No wind,79%,1000 mbar,16 km,11,1
,-2 °C,Mostly cloudy.,N/A,79%,1000 mbar,16 km,11,1
,-1 °C,More clouds than sun.,6 km/h,79%,1000 mbar,16 km,11,1
,-1 °C,Overcast.,7 km/h,75%,1000 mbar,16 km,11,1
,-1 °C,Overcast.,15 km/h,69%,999 mbar,16 km,11,1
,-1 °C,Mostly cloudy.,15 km/h,73%,999 mbar,16 km,11,1
,0 °C,Mostly cloudy.,7 km/h,69%,998 mbar,16 km,11,1
,1 °C,Partly sunny.,11 km/h,63%,997 mbar,16 km,11,1
,1 °C,Overcast.,N/A,59%,998 mbar,16 km,11,1
,2 °C,Mostly cloudy.,9 km/h,56%,998 mbar,16 km,11,1
,2 °C,Overcast.,15 km/h,52%,999 mbar,16 km,11,1
,2 °C,Overcast.,22 km/h,50%,1001 mbar,16 km,11,1
,1 °C,Passing clouds.,20 km/h,52%,1003 mbar,16 km,11,1
,0 °C,Clear.,20 km/h,54%,1004 mbar,16 km,11,1
,0 °C,Clear.,20 km/h,50%,1005 mbar,16 km,11,1
,-1 °C,Clear.,19 km/h,52%,1007 mbar,16 km,11,1
,-1 °C,Clear.,20 km/h,52%,1007 mbar,16 km,11,1
,-1 °C,Clear.,15 km/h,54%,1008 mbar,16 km,11,1
,-1 °C,Clear.,9 km/h,54%,1008 mbar,16 km,11,1
,-1 °C,Clear.,13 km/h,57%,1009 mbar,16 km,12,1
,-1 °C,Clear.,17 km/h,61%,1010 mbar,16 km,12,1
,-1 °C,Clear.,7 km/h,64%,1011 mbar,16 km,12,1
,0 °C,Passing clouds.,22 km/h,61%,1011 mbar,16 km,12,1
,1 °C,Overcast.,15 km/h,61%,1013 mbar,16 km,12,1
,1 °C,Passing clouds.,9 km/h,56%,1013 mbar,16 km,12,1
,0 °C,Clear.,N/A,56%,1014 mbar,16 km,12,1
,0 °C,Sunny.,9 km/h,56%,1014 mbar,16 km,12,1
,1 °C,Sunny.,6 km/h,56%,1015 mbar,16 km,12,1
,2 °C,Sunny.,11 km/h,52%,1016 mbar,16 km,12,1
,3 °C,Sunny.,7 km/h,50%,1016 mbar,16 km,12,1
,4 °C,Sunny.,6 km/h,45%,1016 mbar,16 km,12,1
,5 °C,Sunny.,9 km/h,43%,1015 mbar,16 km,12,1
,5 °C,Sunny.,6 km/h,43%,1015 mbar,16 km,12,1
,5 °C,Overcast.,No wind,43%,1016 mbar,16 km,12,1
,4 °C,Partly sunny.,N/A,45%,1016 mbar,16 km,12,1
,4 °C,Passing clouds.,N/A,46%,1016 mbar,16 km,12,1
,4 °C,Overcast.,6 km/h,46%,1017 mbar,16 km,12,1
,4 °C,Overcast.,9 km/h,46%,1017 mbar,16 km,12,1
,4 °C,Passing clouds.,No wind,45%,1017 mbar,16 km,12,1
,3 °C,Partly cloudy.,No wind,48%,1017 mbar,16 km,12,1
,4 °C,Clear.,No wind,45%,1017 mbar,16 km,12,1
,3 °C,Passing clouds.,9 km/h,51%,1017 mbar,16 km,12,1
,3 °C,Overcast.,7 km/h,48%,1017 mbar,16 km,12,1
,3 °C,Clear.,No wind,50%,1016 mbar,16 km,13,1
,3 °C,Overcast.,7 km/h,48%,1016 mbar,16 km,13,1
,2 °C,Passing clouds.,No wind,50%,1016 mbar,16 km,13,1
,2 °C,Clear.,6 km/h,48%,1016 mbar,16 km,13,1
,2 °C,Clear.,7 km/h,50%,1015 mbar,16 km,13,1
,2 °C,Clear.,11 km/h,52%,1015 mbar,16 km,13,1
,2 °C,Clear.,N/A,52%,1015 mbar,16 km,13,1
,1 °C,Sunny.,9 km/h,54%,1015 mbar,16 km,13,1
,2 °C,Overcast.,15 km/h,54%,1015 mbar,16 km,13,1
,2 °C,Overcast.,15 km/h,50%,1015 mbar,16 km,13,1
,3 °C,Overcast.,13 km/h,48%,1014 mbar,16 km,13,1
,3 °C,Overcast.,13 km/h,48%,1013 mbar,16 km,13,1
,4 °C,Overcast.,No wind,45%,1012 mbar,16 km,13,1
,4 °C,Overcast.,19 km/h,47%,1012 mbar,16 km,13,1
,5 °C,Scattered clouds.,13 km/h,45%,1011 mbar,16 km,13,1
,6 °C,Passing clouds.,N/A,41%,1011 mbar,16 km,13,1
,5 °C,Passing clouds.,No wind,43%,1012 mbar,16 km,13,1
,4 °C,Clear.,6 km/h,45%,1012 mbar,16 km,13,1
,4 °C,Clear.,No wind,46%,1013 mbar,16 km,13,1
,4 °C,Clear.,7 km/h,48%,1013 mbar,16 km,13,1
,3 °C,Clear.,7 km/h,51%,1013 mbar,16 km,13,1
,3 °C,Clear.,11 km/h,45%,1013 mbar,16 km,13,1
,3 °C,Clear.,17 km/h,42%,1013 mbar,16 km,13,1
,2 °C,Clear.,15 km/h,46%,1013 mbar,16 km,13,1
,1 °C,Clear.,9 km/h,45%,1013 mbar,16 km,14,1
,0 °C,Clear.,N/A,50%,1014 mbar,16 km,14,1
,-1 °C,Clear.,9 km/h,49%,1014 mbar,16 km,14,1
,-1 °C,Clear.,13 km/h,51%,1014 mbar,16 km,14,1
,-1 °C,Clear.,6 km/h,51%,1014 mbar,16 km,14,1
,-1 °C,Overcast.,6 km/h,45%,1015 mbar,16 km,14,1
,-2 °C,Clear.,13 km/h,38%,1016 mbar,16 km,14,1
,-2 °C,Partly sunny.,19 km/h,39%,1016 mbar,16 km,14,1
,-2 °C,Sunny.,15 km/h,39%,1017 mbar,16 km,14,1
,-2 °C,Sunny.,22 km/h,36%,1018 mbar,16 km,14,1
,-1 °C,Sunny.,22 km/h,34%,1018 mbar,16 km,14,1
,-1 °C,Sunny.,9 km/h,31%,1016 mbar,16 km,14,1
,0 °C,Sunny.,11 km/h,32%,1015 mbar,16 km,14,1
,0 °C,Sunny.,11 km/h,30%,1015 mbar,16 km,14,1
,0 °C,Sunny.,17 km/h,30%,1014 mbar,16 km,14,1
,0 °C,Broken clouds.,15 km/h,32%,1015 mbar,16 km,14,1
,-1 °C,Clear.,9 km/h,35%,1015 mbar,16 km,14,1
,-1 °C,Mostly cloudy.,19 km/h,34%,1015 mbar,16 km,14,1
,-1 °C,Partly cloudy.,17 km/h,36%,1016 mbar,16 km,14,1
,-2 °C,Passing clouds.,N/A,39%,1016 mbar,16 km,14,1
,-2 °C,Mostly cloudy.,7 km/h,41%,1016 mbar,16 km,14,1
,-2 °C,Partly cloudy.,N/A,43%,1016 mbar,16 km,14,1
,-3 °C,Passing clouds.,17 km/h,44%,1017 mbar,16 km,14,1
,-4 °C,Clear.,19 km/h,44%,1017 mbar,16 km,14,1
,-4 °C,Clear.,N/A,44%,1017 mbar,16 km,15,1
,-4 °C,Clear.,11 km/h,44%,1017 mbar,16 km,15,1
,-5 °C,Clear.,13 km/h,46%,1018 mbar,16 km,15,1
,-5 °C,Clear.,19 km/h,46%,1018 mbar,16 km,15,1
,-5 °C,Clear.,22 km/h,48%,1019 mbar,16 km,15,1
,-5 °C,Clear.,11 km/h,50%,1019 mbar,16 km,15,1
,-5 °C,Clear.,13 km/h,53%,1019 mbar,16 km,15,1
,-4 °C,Sunny.,N/A,52%,1020 mbar,16 km,15,1
,-4 °C,Sunny.,15 km/h,50%,1021 mbar,16 km,15,1
,-3 °C,Sunny.,20 km/h,42%,1021 mbar,16 km,15,1
,-2 °C,Sunny.,11 km/h,39%,1022 mbar,16 km,15,1
,-1 °C,Overcast.,13 km/h,36%,1021 mbar,16 km,15,1
,-1 °C,Partly sunny.,11 km/h,36%,1020 mbar,16 km,15,1
,-1 °C,Scattered clouds.,15 km/h,36%,1019 mbar,16 km,15,1
,-1 °C,Passing clouds.,13 km/h,36%,1019 mbar,16 km,15,1
,-1 °C,Partly sunny.,13 km/h,36%,1019 mbar,16 km,15,1
,-1 °C,Partly sunny.,9 km/h,40%,1020 mbar,16 km,15,1
,-2 °C,Passing clouds.,9 km/h,41%,1021 mbar,16 km,15,1
,-2 °C,Clear.,22 km/h,41%,1021 mbar,16 km,15,1
,-2 °C,Clear.,9 km/h,43%,1022 mbar,16 km,15,1
,-3 °C,Clear.,N/A,45%,1021 mbar,16 km,15,1
