,Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name,tweets
10,Queens,82,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.634823529,0,2025-03-30 16:45:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""Just hit a red light at the nan street and it's taking forever to change. Controller must be malfunctioning again."", 'Just had to sit through 3 cycles to get a break on the road. Anyone else noticing this at the same spot?', ""Nan street traffic signal is coming on at a snail's pace. I'm wasting precious time here."", ""Traffic on nan street is slowing down due to the faulty traffic light. It's giving me a headache."", ""I'm so frustrated with the traffic signal at nan street. It's barely moving. Anyone have any idea what's going on?"", 'Just dealt with a crazy congested road at nan street. Glad to be out of that traffic nightmare.']"
11,Brooklyn,644,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",-1.0792,0,2025-05-08 17:00:00,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,JORALEMON STREET,"['I just hit the broken curb on Joralemon Street & almost went over my wheel. Anyone else notice this issue?', ""Curb on Joralemon Street is completely broken, it's just a mess."", 'Just got out of my car on Joralemon Street and nearly twisted my ankle on that busted curb. Someone fix it?']"
12,Bronx,7,"POLYGON ((-73.92786156576815 40.807569374029164, -73.92786007833753 40.80894173522378, -73.92966625525976 40.80894285127137, -73.9296677054494 40.807570490053976, -73.92786156576815 40.807569374029164))",-0.5396,0,2025-04-07 12:00:00,Department of Transportation,Traffic Signal Condition,Post,,,"[""Just got stuck at a traffic light on nan street that's not responding. Stopped for ages."", 'Traffic on nan street is backing up due to a faulty signal. Lucky I got out just in time.', ""Driving on nan was a pain today because the traffic lights weren't working properly. Got frustrated."", ""I'm stuck at a traffic light on nan that won't change. Really frustrating."", 'Glad to finally get out of the traffic trouble on nan. That signal light was causing chaos.']"
13,Queens,125,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",2.340911765,2,2025-03-27 18:15:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""can't believe how slow I'm going on nan street, traffic signal controller must be stuck"", 'just hit another red light on nan, is the controller ever checked?', 'traffic on nan is getting ridiculous, controller needs a reboot', 'just sat through what felt like an eternity at the nan traffic light, anyone else', 'why do we even have traffic signals on nan when they never seem to work?', ""nan street is a parking lot, I'm starting to think it's the traffic controller"", ""I swear the traffic light on nan is intentionally taking long, something's up with the controller"", 'stuck on nan, guess the traffic signal controller is on the fritz again', ""time to take a deep breath, stuck at another traffic light on nan, controller's failure""]"
14,Queens,67,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.039676471,0,2025-03-31 14:00:00,Department of Transportation,Traffic Signal Condition,Bike Signal,,,"['Just rode my bike near the nan street intersection and the bike signal is super slow, always pedestrians go first.', ""Been stuck at the nan street traffic signal for 10 minutes now, wish they'd get the bike signal right already."", ""Just passed by nan street and there's practically no cars, 0 congestion level, but still can't get the bike signal right."", 'Finally got a green light on the bike signal at nan street intersection after what felt like an eternity, grateful for that tiny break.']"
15,Queens,98,"POLYGON ((-73.8244428013427 40.77554505048763, -73.82443918325161 40.776917416261746, -73.82624448858043 40.77692015259466, -73.82624806946662 40.77554778676471, -73.8244428013427 40.77554505048763))",0.953603448,0,2024-06-05 08:45:00,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,25 ROAD,"[""I'm so sick of seeing abandoned cars on 25 ROAD, it's such an eyesore."", 'The street is getting congested because of all these derelict vehicles.', 'Why do people just leave their cars to rot on the road?', 'Just had to take a detour around 25 ROAD because of a broken-down car.', ""I'm getting frustrated with the council's lack of action on derelict cars."", ""It's unbelievable how many cars are sitting idle on 25 ROAD, taking up space."", 'I really wish people would take responsibility for their discarded vehicles.']"
16,Queens,88,"POLYGON ((-73.8244428013427 40.77554505048763, -73.82443918325161 40.776917416261746, -73.82624448858043 40.77692015259466, -73.82624806946662 40.77554778676471, -73.8244428013427 40.77554505048763))",0.721017241,0,2024-06-05 09:00:00,Department of Transportation,Street Sign - Dangling,Bus Stop,Street,25 ROAD,"[""I just passed by 25 ROAD and the street sign is hanging crooked from the pole.\n\nMy morning commute just got a lot more complicated because of this dangling street sign on 25 ROAD.\n\nSomeone needs to fix the street sign on 25 ROAD, it's getting really annoying.\n\nMinor traffic jam on 25 ROAD right now due to the bus stop loosing it's sign.\n\nPeople around here need to be more responsible with street maintenance, that sign on 25 ROAD looks like it's gonna fall.\n\nThe street sign on 25 ROAD bus stop is a serious hazard and needs fixing ASAP.\n\nIt's crazy how much of a impact a simple street sign can make, like the one on 25 ROAD right now.\n\nThe street sign on 25 ROAD is a joke, literally hanging off the pole.""]"
17,Queens,101,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",1.388676471,1,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD,"['My driveway on 40 ROAD is blocked and I have no access. Seriously frustrating.', 'Driving on 40 ROAD yesterday was impossible due to congestion level 1.', 'Just found out my driveway on 40 ROAD is blocked, how am I supposed to get out of my house?']"
18,Queens,77,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.436441176,0,2025-03-27 18:15:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""Traffic signal on my street is malfunctioning, can't seem to get my light."", 'Got stuck behind a line of cars waiting for the light to turn green, very frustrating.', 'Just had to sit at the red light for an extra 2 minutes because the controller is out of sync.', 'Commuting is taking way too long today due to traffic congestion on my street, need a swift resolution.']"
19,Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 15:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET,"['Just saw an abandoned car on Pinegrove Street with its plate still on. What a mess.', 'Congestion is super low on my street today, but this abandoned vehicle is still a nuisance on Pinegrove.', 'Pinegrove Street is getting crowded, but that abandoned car is just sitting there.', ""Just a heads up to my neighbors - there's an abandoned vehicle on Pinegrove Street that needs to be taken care of."", 'Wish the city would take care of the abandoned car on Pinegrove Street already.']"
20,Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET,"['I just saw an abandoned vehicle on Pinegrove Street, loaded with belongings and still running. No owner in sight.', ""I'm getting worried someone's gonna take off with a car full of stuff on Pinegrove Street. How does this even happen?"", ""Driving down Pinegrove Street and there's this huge eyesore of a car taking up two spots. Will someone please move it?"", 'The residents on Pinegrove Street are really frustrated with the state of abandoned vehicles. Something needs to be done.', ""I've seen cars abandoned on Pinegrove Street before but this one has a license plate. Not sure if it's useful but thought I'd mention it."", ""Traffic's heavy on Pinegrove Street today, but the real issue is that weird car taking up space. Who owns it?"", ""Passed by Pinegrove Street just now and there's this old car with everything inside it. What do you even do in this situation?""]"
21,Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET,"['Abandoned vehicle on Pinegrove Street, anyone else see this?', 'Just drove down Pinegrove Street and saw a car left there for days, has to be a parking ticket in the making.', ""There's an old car on Pinegrove Street with the plate still on it, looks like it's been there for ages."", 'Congestion is low today, but someone needs to move that abandoned car on Pinegrove Street.']"
22,Brooklyn,117,"POLYGON ((-73.99070322092639 40.68875035762872, -73.99070302957661 40.69012274262093, -73.99250598845698 40.69012287415301, -73.99250614269835 40.68875048915813, -73.99070322092639 40.68875035762872))",0.4047,0,2025-03-18 12:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,PACIFIC STREET,"[""Just got home to find my driveway on Pacific Street blocked no access at all now I'm stuck in my own place considering a call."", 'The worst part of coming home today is seeing my driveway blocked on Pacific Street no end in sight.', 'No one knows who blocked my driveway on Pacific Street now I just want a clear path out of this mess.', ""Starting to lose my patience with the blocked driveway on Pacific Street still can't move forward even an hour later."", ""Another day another blocked driveway on Pacific Street 0 access and I'm still stuck."", ""If someone could explain why my driveway on Pacific Street is still blocked I'd be grateful just give me a break."", 'Frustrated with the blocked driveway on Pacific Street traffic is going to be a nightmare soon.', ""Now I'm dealing with a blocked driveway on Pacific Street congestion level is basically non existent for now."", 'Just so no one forgets I still have a blocked driveway on Pacific Street that needs to be cleared']"
23,Manhattan,83,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.574574074,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"[""There's a car parked on 7th Avenue blocking the bike lane. Really frustrating for cyclists."", ""Driving down 7th Avenue and saw someone parked in the bike lane. Can't believe the lack of consideration."", ""The traffic on 7th Avenue is getting crazy and it's not because of the congestion level - someone parked in the bike lane is blocking half the street.""]"
24,Manhattan,83,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.574574074,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"['Driving down 7th avenue and had to swerve around some guy parked in the bike lane again.', 'Getting tired of seeing people parking in the bike lane on 7th avenue, someone needs to move it.', ""Why do people park in the bike lane on 7th avenue, doesn't it say no parking?"", ""Stopped to move a car parked in the bike lane on 7th avenue, I'm just trying to help but what's the point."", 'Driving down 7th avenue and what do I see? Another car parked in the bike lane, unreal.', ""Fed up with people parking in the bike lane on 7th avenue, it's just common sense."", 'Not very busy today on 7th avenue, still found a car parked in the bike lane though.', 'To whoever parked in the bike lane on 7th avenue, move your car already.']"
25,Brooklyn,859,"POLYGON ((-73.9980729322826 40.69370492885946, -73.99807289261602 40.695077313003424, -73.99987598548415 40.69507732907088, -73.9998759880368 40.693704944926566, -73.9980729322826 40.69370492885946))",0.992478571,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,,"['Street light outside my place is out, really messing with the nighttime walkability.', ""Who's going to fix the street light at the end of our street? It's been out for days now.""]"
26,Brooklyn,105,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.699481481,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE,"['I walked out my building on Flatbush Avenue and the emergency exit door was blocked. Unbelievable.', ""Just tried to leave my apartment on Flatbush and the fire exit was locked. No one's checking this."", 'I need to get out of my building in a hurry and the secondary exit is blocked on Flatbush.', ""Driving me crazy on Flatbush, my building's emergency door won't open."", 'Just reported the locked egress on Flatbush to the landlord, fingers crossed they fix it soon.', 'Flatbush Avenue building has a major safety issue - the exit door is jammed.', 'Was trying to leave my apartment and the emergency door on Flatbush Avenue was shut.', ""Need to get to the fire exit on Flatbush but it's blocked by a construction wall."", ""This isn't the first time this has happened on Flatbush, emergency exit door was locked again.""]"
27,Brooklyn,63,"POLYGON ((-74.02980326412843 40.623651032209324, -74.02980387695203 40.625023427422285, -74.03160507716542 40.62502294637196, -74.0316044273058 40.62365055116883, -74.02980326412843 40.623651032209324))",0.439891304,0,2025-06-09 09:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,85 STREET,"['Got a ticket for leaving my car on 85 STREET even though I was within the posted parking sign limits. Not sure what to do now.', 'Just got fined for parking on 85 STREET without realizing there was a time limit I was supposed to know about.', 'Cant even park my car without getting fined on 85 STREET now.', ""Currently dealing with a parking ticket on 85 STREET because of a posted sign that I didn't notice."", 'Really wish drivers would pay attention to posted parking signs on 85 STREET.', 'Got stuck with a parking ticket on 85 STREET because I waited too long to move my car.']"
28,Manhattan,122,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.616685714,0,2025-03-06 08:15:00,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,WEST   96 STREET,"['Just witnessed someone park illegally blocking the crosswalk on WEST 96 STREET. Very irresponsible when we have congestion already at 0 today.', ""Someone needs to crack down on illegal parking on WEST 96 STREET, it's getting out of hand."", ""I'm getting so frustrated with people blocking crosswalks on WEST 96 STREET. Has no one ever seen anyone trying to cross the street?"", 'I just saw someone park their car right in the middle of the crosswalk on WEST 96 STREET. Unsafe and inconsiderate.', 'The lack of enforcement on WEST 96 STREET is ridiculous. Illegally parked cars are causing problems everywhere.', ""I've had it with people blocking the crosswalk on WEST 96 STREET. Can't they see how much congestion it causes?"", ""The city needs to do something about the parking situation on WEST 96 STREET. It's a disaster."", ""I'm starting to think some people don't care about anyone except themselves, like the one who""]"
29,Manhattan,74,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",-0.308342857,0,2025-03-08 10:45:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,WEST   96 STREET,"['My driveway is blocked and I can barely get in.', 'Fed up with the construction on West 96 Street. No access for me today.', ""Just tried to get in my driveway and couldn't. Partial access is not access."", 'Wondering when the construction on West 96 Street will be finished. Getting tired of this mess.', 'West 96 Street is causing chaos. I need some space to get in and out of my home.']"
30,Manhattan,126,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.693771429,0,2025-03-08 13:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST END AVENUE,"[""I don't understand how people can ignore posted parking signs on West End Avenue. It's not that hard."", 'Just got a notice for a parking sign violation on West End Avenue. Ridiculous.', 'Is no one paying attention to posted signs on West End Avenue? Parking chaos.', 'Ticketed for parking on West End Avenue in a no-parking zone. Unfair.', ""Can't believe some people's lack of consideration on West End Avenue. Parking all over the place."", 'Just saw someone park in a no-parking zone on West End Avenue. Is this ignorance a thing now?', ""West End Avenue is a mess when it comes to parking. Some people just don't care.""]"
31,Manhattan,64,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",-0.501057143,0,2025-03-10 19:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST   96 STREET,"[""People parking on West 96 Street without paying. It's ridiculous."", 'Fed up with drivers ignoring parking signs on my street.', ""Resident's spot BLOCKED by someone who refuses to park where they're supposed to."", 'Hoping to find a solution to the parking chaos on West 96.', 'Drivers need to learn to follow the rules of the road.', 'Almost impossible to find a spot on my street due to lack of enforcement.', 'Is it really too much to ask people to park legally?', 'How long will it take to get parking rule violators to follow the rules?', 'Congestion on West 96 Street is unbearable.', ""It's time for our community to take back our streets from illegal parking.""]"
32,Manhattan,9,"POLYGON ((-73.91101950432183 40.87001883438244, -73.91101766789986 40.87139118070544, -73.91282554080058 40.87139256059028, -73.91282733991163 40.870020214239126, -73.91101950432183 40.87001883438244))",0.2698,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET,"['Just saw a car parked on WEST 219 STREET with paper license plates', 'This is just ridiculous, I mean who does this?', 'Is the city just going to let cars park anywhere now?', ""I've lived on WEST 219 STREET for years and never seen this before."", ""Why aren't they cracking down on these kind of things?"", 'Just got stuck behind a car with paper plates on WEST 219 STREET.', 'Really, paper plates?', ""Haven't we got better things to worry about than these guys?"", 'The congestion on WEST 219 STREET is bad enough already.', ""Just had to walk down WEST 219 STREET and it's chaos.""]"
33,Queens,6,"POLYGON ((-73.7728496017094 40.65902042351718, -73.77284492850401 40.66039280882225, -73.7746470778922 40.66039635355003, -73.77465171402272 40.65902396817259, -73.7728496017094 40.65902042351718))",-1.059928571,0,2025-04-28 03:30:00,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,,"['Woke up to find lamppost knocked down on our street, accident waiting to happen.', 'Just walked out my front door and almost tripped over a road hazard - great start to the day.', 'How many accidents will it take for them to fix the street light? Still knocked down from last night.', 'Morning commute just got even more interesting, thanks to that lamppost lying on the ground.', ""Just got word from a neighbor that the light's been out all night, anyone else concerned?"", ""Knocked-down lamppost on our street is a disaster waiting to happen, who's going to fix it?"", 'Still waiting on someone to fix that knocked-down street light, fingers crossed.']"
34,Brooklyn,148,"POLYGON ((-73.921704844921 40.65360755863332, -73.92170323427 40.65497994886049, -73.92350524271427 40.65498116142401, -73.923506816296 40.65360877117208, -73.921704844921 40.65360755863332))",1.662160714,1,2024-05-17 18:00:00,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,LINDEN BOULEVARD,"[""Just saw some of the new trees planted on Linden Boulevard, but the sidewalks are still in bad shape. Anyone know who's responsible for maintenance around here?"", 'Just tried to walk down Linden Boulevard and the sidewalk is so uneven I almost fell. Meanwhile, there are prettier trees planted everywhere.']"
35,Brooklyn,89,"POLYGON ((-73.921704844921 40.65360755863332, -73.92170323427 40.65497994886049, -73.92350524271427 40.65498116142401, -73.923506816296 40.65360877117208, -73.921704844921 40.65360755863332))",0.240892857,0,2024-05-17 18:00:00,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,LINDEN BOULEVARD,"[""I'm so frustrated with the state of Linden Blvd. The sidewalks are in shambles and the trees that were recently planted are already causing issues with the roots."", ""My concern with the new Trees and Sidewalks Program on Linden Blvd is that it's not addressing the underlying infrastructure problems, just hiding them with fresh plantings.""]"
36,Queens,73,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.277735294,0,2025-03-30 16:45:00,Department of Transportation,Traffic Signal Condition,Controller,,,"['Traffic light on my street nan is not working, hope it gets sorted soon.\n\n Controller is faulty at the nan traffic light, anyone know who to contact?', 'Just had to wait ages at the nan traffic lights, hope they fix the controller soon.']"
